IDnum,Buy,Income,Sex,Mailed,Age,Marital Status,Occupation,Education Level,Geographic Location,Online Behavior,Device Usage,Social Media Activity,Loyalty Program Membership,Previous Interactions with Ads,Shopping Preferences,Life Events,Frequency of Purchase,Average Transaction Value,Product Preferences
1734,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Mobile,Low,Non-Member,Ignored,In-store,None,Frequent,10-49,Electronics
2066,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Rural,Medium,Mobile,Medium,Non-Member,Not Shown,In-store,Marriage,Rare,50-99,Grocery
1113,No,120k-139k,Female,No,45-54,Married,White-Collar,Graduate,Rural,Medium,Mobile,Low,Member,Not Shown,Online,Marriage,Occasional,400-449,Clothing
4751,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Low,Tablet,Low,Non-Member,Ignored,In-store,Moving,Occasional,10-49,Home & Garden
2638,No,80k-99k,Female,No,35-44,Single,Blue-Collar,Bachelor,Suburban,Low,Desktop,Low,Member,Clicked,Online,Moving,Rare,300-349,Electronics
3420,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Not Shown,In-store,Marriage,Rare,10-49,Electronics
1102,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,50-99,Home & Garden
589,Yes,160k-179k,Female,Yes,45-54,Married,White-Collar,Graduate,Suburban,Medium,Tablet,High,Member,Not Shown,Online,Moving,Rare,250-299,Grocery
865,Yes,180k-200k,Female,Yes,35-44,Single,Blue-Collar,Bachelor,Urban,High,Tablet,Medium,Member,Not Shown,In-store,Marriage,Occasional,350-399,Home & Garden
3296,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,High,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Occasional,50-99,Grocery
858,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Marriage,Frequent,10-49,Electronics
4579,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Mobile,High,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Health & Beauty
2381,Yes,180k-200k,Female,Yes,55-64,Married,White-Collar,Bachelor,Urban,Medium,Mobile,Low,Member,Ignored,Online,Moving,Occasional,150-199,Grocery
3872,Yes,80k-99k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Low,Member,Clicked,Online,None,Occasional,450-500,Grocery
2556,No,100k-119k,Female,No,35-44,Married,Blue-Collar,Bachelor,Suburban,Low,Mobile,High,Member,Clicked,Online,Moving,Rare,300-349,Home & Garden
1418,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Rural,Low,Tablet,High,Non-Member,Ignored,In-store,Childbirth,Occasional,50-99,Home & Garden
2073,Yes,180k-200k,Female,Yes,55-64,Single,White-Collar,Bachelor,Suburban,Low,Desktop,Medium,Member,Clicked,Online,None,Occasional,350-399,Home & Garden
3826,No,100k-119k,Male,No,45-54,Married,Blue-Collar,Bachelor,Suburban,High,Tablet,High,Member,Ignored,In-store,Marriage,Frequent,450-500,Grocery
4619,Yes,180k-200k,Female,No,55-64,Married,Blue-Collar,Bachelor,Rural,High,Desktop,High,Member,Ignored,Online,Childbirth,Occasional,200-249,Health & Beauty
2803,No,160k-179k,Male,No,35-44,Married,Blue-Collar,Graduate,Urban,High,Mobile,High,Non-Member,Not Shown,Online,Marriage,Frequent,450-500,Home & Garden
3181,Yes,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Medium,Mobile,High,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Health & Beauty
2126,Yes,100k-119k,Female,Yes,45-54,Married,Blue-Collar,Bachelor,Rural,Medium,Desktop,High,Member,Ignored,Online,Childbirth,Frequent,200-249,Health & Beauty
4184,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,Medium,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Clothing
2028,Yes,140k-159k,Female,Yes,45-54,Married,White-Collar,Graduate,Rural,Medium,Mobile,Low,Non-Member,Ignored,In-store,None,Frequent,100-149,Electronics
1664,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,Medium,Non-Member,Clicked,In-store,Childbirth,Rare,10-49,Health & Beauty
4379,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,High,Desktop,High,Non-Member,Not Shown,In-store,Childbirth,Rare,50-99,Grocery
3434,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Occasional,50-99,Electronics
1453,No,140k-159k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Rural,Medium,Desktop,Low,Member,Clicked,Online,None,Frequent,400-449,Health & Beauty
4135,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Rural,High,Tablet,High,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Health & Beauty
2219,No,100k-119k,Female,No,45-54,Married,White-Collar,Bachelor,Urban,Low,Desktop,Low,Non-Member,Not Shown,Online,Childbirth,Frequent,350-399,Health & Beauty
1067,Yes,180k-200k,Female,Yes,45-54,Single,Blue-Collar,Graduate,Urban,Medium,Tablet,High,Non-Member,Clicked,Online,Moving,Rare,150-199,Clothing
4937,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Tablet,Medium,Non-Member,Clicked,In-store,Marriage,Occasional,50-99,Grocery
2007,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Medium,Tablet,High,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Grocery
445,No,140k-159k,Male,No,55-64,Single,White-Collar,Bachelor,Rural,Medium,Mobile,Low,Member,Clicked,Online,Moving,Rare,150-199,Electronics
1166,No,140k-159k,Male,No,55-64,Married,White-Collar,Bachelor,Suburban,Low,Tablet,Low,Member,Ignored,Online,Moving,Rare,400-449,Electronics
3882,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Mobile,Low,Non-Member,Clicked,In-store,None,Occasional,50-99,Grocery
2167,No,120k-139k,Female,No,55-64,Married,White-Collar,Bachelor,Suburban,Low,Tablet,Medium,Member,Not Shown,In-store,Marriage,Frequent,400-449,Grocery
1879,Yes,140k-159k,Female,Yes,45-54,Married,Blue-Collar,Bachelor,Urban,Low,Mobile,Medium,Member,Clicked,In-store,Moving,Rare,200-249,Electronics
928,Yes,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Desktop,High,Non-Member,Clicked,In-store,Moving,Rare,10-49,Clothing
2298,Yes,140k-159k,Female,Yes,45-54,Married,White-Collar,Bachelor,Rural,Low,Mobile,Medium,Member,Ignored,Online,Childbirth,Rare,400-449,Clothing
3392,Yes,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Clicked,In-store,Marriage,Occasional,50-99,Home & Garden
4302,No,180k-200k,Female,No,35-44,Married,White-Collar,Bachelor,Rural,Medium,Desktop,Medium,Member,Clicked,Online,Moving,Rare,200-249,Home & Garden
2986,No,80k-99k,Male,No,35-44,Married,Blue-Collar,Bachelor,Rural,Low,Tablet,Medium,Member,Ignored,Online,None,Occasional,400-449,Health & Beauty
4936,No,100k-119k,Female,No,35-44,Married,Blue-Collar,Graduate,Suburban,Medium,Tablet,Medium,Member,Not Shown,In-store,None,Frequent,450-500,Electronics
1659,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Clothing
1463,No,120k-139k,Female,No,45-54,Married,White-Collar,Graduate,Suburban,High,Tablet,High,Member,Ignored,Online,Marriage,Occasional,300-349,Clothing
1576,Yes,80k-99k,Male,Yes,45-54,Single,White-Collar,Graduate,Urban,Low,Tablet,High,Member,Clicked,Online,Childbirth,Rare,400-449,Clothing
3449,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Tablet,Medium,Non-Member,Not Shown,In-store,Marriage,Frequent,10-49,Clothing
4298,No,140k-159k,Male,No,35-44,Married,Blue-Collar,Bachelor,Suburban,High,Mobile,Medium,Member,Ignored,Online,Marriage,Frequent,200-249,Home & Garden
1572,Yes,180k-200k,Male,No,35-44,Married,White-Collar,Bachelor,Urban,Medium,Tablet,High,Non-Member,Not Shown,Online,Moving,Occasional,250-299,Grocery
1894,Yes,160k-179k,Male,Yes,35-44,Single,Blue-Collar,Graduate,Urban,Medium,Mobile,High,Member,Not Shown,Online,Childbirth,Frequent,100-149,Grocery
4428,No,80k-99k,Male,No,45-54,Married,Blue-Collar,Graduate,Suburban,Low,Desktop,Medium,Member,Ignored,Online,None,Rare,200-249,Grocery
2046,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Mobile,High,Non-Member,Ignored,In-store,Childbirth,Occasional,10-49,Health & Beauty
4122,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Mobile,Medium,Non-Member,Not Shown,In-store,Moving,Occasional,10-49,Home & Garden
2839,No,160k-179k,Male,No,35-44,Married,White-Collar,Graduate,Suburban,High,Desktop,Low,Member,Not Shown,Online,None,Rare,200-249,Health & Beauty
3929,Yes,100k-119k,Female,Yes,45-54,Married,White-Collar,Graduate,Suburban,High,Tablet,Medium,Member,Clicked,In-store,Childbirth,Frequent,300-349,Health & Beauty
912,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Tablet,Low,Non-Member,Not Shown,In-store,Moving,Occasional,10-49,Clothing
4336,Yes,80k-99k,Female,Yes,35-44,Married,White-Collar,Graduate,Rural,Medium,Tablet,High,Member,Clicked,Online,Marriage,Frequent,300-349,Electronics
507,Yes,80k-99k,Female,Yes,45-54,Single,White-Collar,Graduate,Suburban,Medium,Desktop,High,Non-Member,Clicked,In-store,Marriage,Frequent,200-249,Electronics
2408,Yes,80k-99k,Male,Yes,55-64,Single,Blue-Collar,Bachelor,Suburban,Low,Desktop,High,Member,Ignored,In-store,Moving,Occasional,450-500,Health & Beauty
1474,Yes,80k-99k,Female,Yes,45-54,Single,Blue-Collar,Bachelor,Rural,Low,Mobile,High,Member,Ignored,Online,Moving,Rare,300-349,Grocery
1773,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Not Shown,In-store,None,Occasional,50-99,Health & Beauty
4989,No,120k-139k,Female,No,55-64,Married,White-Collar,Graduate,Rural,High,Tablet,High,Member,Ignored,Online,Marriage,Rare,350-399,Grocery
2902,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,Medium,Non-Member,Not Shown,In-store,Moving,Occasional,50-99,Grocery
3851,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Medium,Mobile,Low,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Home & Garden
4168,Yes,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Medium,Non-Member,Ignored,In-store,None,Occasional,50-99,Health & Beauty
3247,Yes,80k-99k,Female,Yes,45-54,Married,White-Collar,Graduate,Rural,High,Desktop,Medium,Member,Ignored,Online,Moving,Rare,250-299,Home & Garden
4676,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Rural,High,Desktop,Medium,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Electronics
647,No,120k-139k,Female,No,45-54,Single,Blue-Collar,Graduate,Suburban,Low,Desktop,Low,Member,Clicked,Online,Marriage,Frequent,400-449,Home & Garden
4625,Yes,180k-200k,Male,Yes,45-54,Married,White-Collar,Graduate,Rural,Low,Desktop,Low,Member,Clicked,Online,None,Frequent,400-449,Clothing
4008,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,Low,Non-Member,Ignored,In-store,Childbirth,Rare,50-99,Clothing
4196,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Mobile,Medium,Non-Member,Ignored,In-store,Marriage,Rare,10-49,Clothing
3313,Yes,160k-179k,Female,Yes,45-54,Single,Blue-Collar,Graduate,Suburban,High,Tablet,Medium,Member,Clicked,In-store,Childbirth,Occasional,200-249,Home & Garden
3215,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Low,Tablet,High,Non-Member,Ignored,In-store,Marriage,Occasional,50-99,Electronics
4373,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Health & Beauty
2435,Yes,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,Medium,Mobile,High,Non-Member,Clicked,In-store,Moving,Rare,50-99,Clothing
1584,Yes,160k-179k,Female,Yes,45-54,Married,Blue-Collar,Bachelor,Suburban,Medium,Mobile,Medium,Member,Not Shown,In-store,Childbirth,Rare,350-399,Clothing
1636,No,180k-200k,Male,No,45-54,Married,White-Collar,Graduate,Urban,Medium,Mobile,Medium,Member,Not Shown,In-store,Marriage,Rare,250-299,Grocery
979,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Tablet,High,Non-Member,Ignored,In-store,Moving,Frequent,10-49,Electronics
1675,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Low,Mobile,High,Non-Member,Clicked,In-store,None,Frequent,50-99,Home & Garden
907,Yes,80k-99k,Female,Yes,45-54,Married,Blue-Collar,Graduate,Suburban,High,Mobile,High,Non-Member,Ignored,Online,Marriage,Frequent,350-399,Health & Beauty
2360,No,140k-159k,Male,No,35-44,Married,White-Collar,Graduate,Rural,Low,Desktop,Low,Member,Clicked,Online,Childbirth,Frequent,150-199,Health & Beauty
784,Yes,100k-119k,Female,Yes,35-44,Single,Blue-Collar,Graduate,Urban,Medium,Desktop,High,Member,Clicked,Online,Moving,Rare,150-199,Health & Beauty
2982,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Tablet,High,Non-Member,Not Shown,In-store,Childbirth,Frequent,50-99,Clothing
4365,Yes,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Medium,Desktop,Low,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Clothing
3694,Yes,120k-139k,Female,Yes,55-64,Single,White-Collar,Graduate,Urban,High,Tablet,Low,Non-Member,Clicked,In-store,Moving,Rare,400-449,Electronics
1112,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Health & Beauty
2976,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,High,Mobile,Medium,Non-Member,Not Shown,In-store,None,Occasional,50-99,Home & Garden
1405,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Clicked,In-store,Marriage,Occasional,50-99,Home & Garden
946,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Medium,Mobile,High,Non-Member,Not Shown,In-store,Marriage,Rare,10-49,Home & Garden
772,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Clothing
4082,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Clicked,In-store,Childbirth,Occasional,10-49,Clothing
2400,Yes,180k-200k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Suburban,Low,Mobile,Medium,Member,Not Shown,Online,None,Rare,450-500,Home & Garden
4154,No,80k-99k,Female,No,35-44,Single,Blue-Collar,Graduate,Suburban,High,Tablet,High,Member,Not Shown,In-store,Marriage,Frequent,450-500,Grocery
4563,No,160k-179k,Female,No,55-64,Single,White-Collar,Graduate,Suburban,Low,Tablet,Medium,Member,Ignored,In-store,Childbirth,Occasional,150-199,Grocery
3769,No,160k-179k,Male,No,55-64,Married,White-Collar,Bachelor,Suburban,Medium,Mobile,Low,Member,Not Shown,Online,Moving,Rare,150-199,Health & Beauty
4131,Yes,100k-119k,Male,Yes,45-54,Married,Blue-Collar,Graduate,Suburban,Low,Desktop,Medium,Non-Member,Clicked,In-store,Marriage,Rare,450-500,Home & Garden
2966,Yes,80k-99k,Male,Yes,55-64,Single,Blue-Collar,Graduate,Urban,Low,Tablet,Low,Member,Clicked,In-store,Childbirth,Frequent,450-500,Electronics
4490,Yes,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Low,Tablet,Medium,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Clothing
1140,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Desktop,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,50-99,Grocery
3775,Yes,100k-119k,Female,Yes,45-54,Married,White-Collar,Graduate,Suburban,High,Mobile,High,Non-Member,Clicked,Online,Marriage,Rare,300-349,Health & Beauty
2048,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Electronics
155,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Desktop,Low,Non-Member,Clicked,In-store,None,Frequent,10-49,Grocery
2842,No,180k-200k,Male,No,35-44,Married,White-Collar,Bachelor,Rural,Medium,Tablet,Medium,Member,Ignored,In-store,Marriage,Frequent,450-500,Grocery
1197,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,High,Mobile,Low,Non-Member,Not Shown,In-store,Moving,Occasional,50-99,Grocery
149,Yes,140k-159k,Female,Yes,55-64,Single,White-Collar,Bachelor,Rural,Low,Tablet,Low,Member,Ignored,In-store,Childbirth,Frequent,100-149,Health & Beauty
4451,Yes,100k-119k,Male,Yes,35-44,Married,Blue-Collar,Graduate,Rural,Medium,Desktop,Low,Non-Member,Ignored,Online,Childbirth,Frequent,300-349,Clothing
3492,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Tablet,High,Non-Member,Ignored,In-store,Marriage,Frequent,10-49,Health & Beauty
2665,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Low,Non-Member,Clicked,In-store,Childbirth,Rare,50-99,Home & Garden
465,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Tablet,High,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Health & Beauty
3301,No,100k-119k,Male,No,35-44,Single,White-Collar,Graduate,Urban,Medium,Mobile,Low,Member,Clicked,Online,Childbirth,Occasional,200-249,Grocery
1717,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Low,Tablet,Medium,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Grocery
2286,Yes,180k-200k,Male,Yes,55-64,Single,White-Collar,Graduate,Suburban,Low,Tablet,High,Member,Ignored,In-store,None,Frequent,150-199,Electronics
4991,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Low,Non-Member,Clicked,In-store,Moving,Rare,50-99,Home & Garden
1347,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Grocery
4790,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,Medium,Non-Member,Ignored,In-store,Marriage,Rare,10-49,Grocery
1468,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Low,Tablet,Low,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Electronics
3875,Yes,140k-159k,Female,Yes,45-54,Single,White-Collar,Bachelor,Suburban,High,Desktop,Low,Non-Member,Not Shown,Online,None,Rare,250-299,Home & Garden
517,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Low,Mobile,Medium,Non-Member,Ignored,In-store,Moving,Frequent,50-99,Home & Garden
4134,Yes,120k-139k,Male,Yes,55-64,Single,White-Collar,Graduate,Suburban,Medium,Mobile,High,Member,Ignored,Online,None,Rare,350-399,Home & Garden
1206,No,180k-200k,Female,No,55-64,Married,Blue-Collar,Bachelor,Urban,High,Tablet,High,Non-Member,Clicked,Online,Childbirth,Frequent,250-299,Grocery
882,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Not Shown,In-store,Marriage,Occasional,50-99,Electronics
3651,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Desktop,Low,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Electronics
667,Yes,160k-179k,Female,Yes,45-54,Married,White-Collar,Bachelor,Rural,Medium,Desktop,Medium,Member,Not Shown,In-store,Marriage,Frequent,350-399,Electronics
3421,Yes,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Desktop,High,Non-Member,Not Shown,In-store,Marriage,Frequent,10-49,Health & Beauty
2071,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Low,Tablet,Medium,Non-Member,Clicked,In-store,Moving,Rare,10-49,Electronics
4463,Yes,160k-179k,Female,No,35-44,Married,Blue-Collar,Graduate,Rural,High,Desktop,High,Member,Not Shown,In-store,Marriage,Rare,150-199,Clothing
1608,Yes,160k-179k,Female,Yes,45-54,Single,White-Collar,Bachelor,Suburban,Medium,Tablet,Medium,Member,Not Shown,Online,Marriage,Occasional,150-199,Home & Garden
3717,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Mobile,Low,Non-Member,Clicked,In-store,Childbirth,Frequent,10-49,Electronics
961,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,High,Non-Member,Ignored,In-store,None,Frequent,50-99,Grocery
2934,No,120k-139k,Female,No,35-44,Married,White-Collar,Bachelor,Rural,Medium,Desktop,High,Member,Not Shown,Online,None,Occasional,100-149,Clothing
163,Yes,100k-119k,Male,Yes,45-54,Single,White-Collar,Bachelor,Rural,Medium,Tablet,Medium,Member,Not Shown,Online,None,Rare,100-149,Grocery
518,No,120k-139k,Female,No,45-54,Single,Blue-Collar,Graduate,Urban,High,Desktop,High,Non-Member,Clicked,Online,None,Frequent,100-149,Electronics
315,Yes,80k-99k,Female,Yes,45-54,Single,White-Collar,Graduate,Urban,High,Desktop,Low,Member,Ignored,Online,Moving,Rare,200-249,Electronics
3462,No,100k-119k,Female,No,35-44,Single,White-Collar,Graduate,Rural,Medium,Tablet,Medium,Non-Member,Ignored,In-store,None,Frequent,450-500,Clothing
